id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Colonizer",,,,,,
,,,,,,
# Market,,,,,,
JavaOpenMarket,JavaOpenMarketTrigger,,"OpenCoreTab CARGO OPEN",,,
"#END Market",,,,,,
,,,,,,
# Salvage,,,,,,
JavaSalvageOperation,JavaSalvageOperationTrigger,,"SalvageEntity performSalvage",,,
"#END Salvage",,,,,,
,,,,,,
# CargoPods,,,,,,
JavaOpenCargoPods,JavaOpenCargoPodsTrigger,,"CargoPods openCargo",,,
"#END CargoPods",,,,,,
,,,,,,
# JavaCommandPlugin,,,,,,
javaPopulateOptions,PopulateOptions,,"JavaCommandPlugin PopulateOptions",,,
javaBeginFleetEncounter,BeginFleetEncounter,,"JavaCommandPlugin BeginFleetEncounter",,,
javaOpenCommLink,OpenCommLink,,"JavaCommandPlugin OpenCommLink",,,
"#END JavaCommandPlugin",,,,,,

